row_idx,subject_id,sentence_index,task_name,source_file,target_string,seq_len
70,YAC,78,task2-NR-2.0,resultsYAC_NR.mat,"Ferrer also directed, but did not appear in, Return to Peyton Place in 1961 and also the re-make of State Fair in 1962.",15
71,YAC,79,task2-NR-2.0,resultsYAC_NR.mat,Clooney was Ferrer's third wife.,6
72,YAC,80,task2-NR-2.0,resultsYAC_NR.mat,"The two were married in 1953, divorced in 1961, and remarried in 1964, only to be divorced again in 1967.",15
73,YAC,81,task2-NR-2.0,resultsYAC_NR.mat,In 1950 Ferrer won an Academy Award for his portrayal of Cyrano de Bergerac in the 1950 film of that name.,15
74,YAC,82,task2-NR-2.0,resultsYAC_NR.mat,"He played Cyrano yet again in the French movie, Cyrano et D'Artagnan.",9
75,YAC,83,task2-NR-2.0,resultsYAC_NR.mat,Ferrer also had a recurring role as Julia Duffy's insanely wealthy Waspy father on the popular Newhart television sitcom in the U.S. in the 1980s.,19
76,YAC,84,task2-NR-2.0,resultsYAC_NR.mat,He also had a memorable recurring role as elegant and flamboyant attorney Reuben Marino on the soap opera Another World in the early 1980s.,20
77,YAC,85,task2-NR-2.0,resultsYAC_NR.mat,His nephew is the actor Jack Davenport.,5
78,YAC,86,task2-NR-2.0,resultsYAC_NR.mat,He flew a P-38 Lightning in the North African campaign of November 1942.,10
79,YAC,87,task2-NR-2.0,resultsYAC_NR.mat,"In his later years he became known as the last Australian politician to advocate, and use, capital punishment.",12
80,YAC,88,task2-NR-2.0,resultsYAC_NR.mat,He was educated at Skipton primary school and Ballarat Grammar: he was the last Victorian Premier not to have a university education.,14
81,YAC,89,task2-NR-2.0,resultsYAC_NR.mat,"On 2005-04-12, Bob Dole released his biography One Soldier's Story: A Memoir (ISBN 0060763418), which talks of his World War II experiences and his battle to survive his war injuries.",25
82,YAC,90,task2-NR-2.0,resultsYAC_NR.mat,"Dole took many odd-jobs around Russell as a boy, and would later work as a soda jerk in the local drug store.",18
83,YAC,91,task2-NR-2.0,resultsYAC_NR.mat,"He also ran unsuccessfully for the Republican Presidential nomination in 1980 and made a more serious bid for the Republican presidential nomination in 1988, losing to then-Vice President George H.W. Bush.",24
84,YAC,92,task2-NR-2.0,resultsYAC_NR.mat,"The contest between the two was bitter, although they differed little on issues.",9
85,YAC,93,task2-NR-2.0,resultsYAC_NR.mat,At one point when a newscaster was conducting a conversation with both of them he asked Dole if he had anything to say to Bush.,15
86,YAC,94,task2-NR-2.0,resultsYAC_NR.mat,While in the Senate he also served as chairman of the Republican National Committee from 1971 until 1973.,14
87,YAC,95,task2-NR-2.0,resultsYAC_NR.mat,"Dole studied Law at KU, but his studies were interrupted by the start of World War II.",11
88,YAC,97,task2-NR-2.0,resultsYAC_NR.mat,He is of three quarters Irish and one quarter French descent.,8
89,YAC,98,task2-NR-2.0,resultsYAC_NR.mat,"He was, for a short time, a commentator opposite Bill Clinton on CBS's 60 Minutes.",11
90,YAC,99,task2-NR-2.0,resultsYAC_NR.mat,He guest-starred as himself on NBC's Brooke Shields sitcom Suddenly Susan in January 1997 (shortly after losing the presidential election).,16
91,YAC,100,task2-NR-2.0,resultsYAC_NR.mat,"As their desire for wealth grows, they discard spiritual and creative values.",9
92,YAC,101,task2-NR-2.0,resultsYAC_NR.mat,"Their greed leads to distrust and dishonesty, and eventually the society crumbles.",9
93,YAC,102,task2-NR-2.0,resultsYAC_NR.mat,"In The Law of Civilisation and Decay (1895), Adams noted that as new population centers emerged in the west, centers of world trade shifted from Constantinople to Venice to Amsterdam to London.",24
94,YAC,103,task2-NR-2.0,resultsYAC_NR.mat,He predicted in America's Economic Supremacy (1900) that New York would become the world trade center.,13
95,YAC,104,task2-NR-2.0,resultsYAC_NR.mat,"She died from multiple strokes and lung cancer on November 6, 2004 in Tarzana, California at the age of 70.",16
96,YAC,105,task2-NR-2.0,resultsYAC_NR.mat,"During the 1940s, Coppola worked under Arturo Toscanini with the NBC Symphony Orchestra.",13
97,YAC,106,task2-NR-2.0,resultsYAC_NR.mat,He was the younger brother of actors Lionel and Ethel Barrymore and the grandfather of Drew Barrymore.,13
98,YAC,107,task2-NR-2.0,resultsYAC_NR.mat,"They had two children, Dolores Ethel Mae Barrymore and John Drew Barrymore (father of Drew Barrymore).",13
99,YAC,108,task2-NR-2.0,resultsYAC_NR.mat,"When she became pregnant, Barrymore proposed marriage.",7
100,YAC,109,task2-NR-2.0,resultsYAC_NR.mat,"But White intervened, and arranged for the still-teenaged Evelyn to undergo an operation for appendicitis.",12
101,YAC,110,task2-NR-2.0,resultsYAC_NR.mat,"White was later murdered by Nesbit's vengeful husband, Pittsburgh millionaire Harry K. Thaw.",12
102,YAC,111,task2-NR-2.0,resultsYAC_NR.mat,"His dying words were 'Die? I should say not, dear fellow'.",11
103,YAC,112,task2-NR-2.0,resultsYAC_NR.mat,"In 1964 she went to Reprise again, shifting the next year to Dot Records.",10
104,YAC,113,task2-NR-2.0,resultsYAC_NR.mat,No Barrymore would allow such a conventional thing to happen to him.,9
105,YAC,114,task2-NR-2.0,resultsYAC_NR.mat,"According to Errol Flynn's memoirs, film director Raoul Walsh 'borrowed' Barrymore's body after the funeral, and left his corpse propped in a chair for a drunken Flynn to discover when he returned home from The Cock and Bull bar.",30
106,YAC,115,task2-NR-2.0,resultsYAC_NR.mat,Other accounts of this classic Hollywood tale substitute actor Peter Lorre in the place of Walsh.,8
107,YAC,116,task2-NR-2.0,resultsYAC_NR.mat,He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.,15
108,YAC,117,task2-NR-2.0,resultsYAC_NR.mat,"He left home during the War of 1812 amd married in Rochester on November 8, 1821, Harriet Smith the daughter of Dr. Sanford Smith and Priscilla Whipple Smith.",17
109,YAC,118,task2-NR-2.0,resultsYAC_NR.mat,He and his wife had seven children.,5
110,YAC,119,task2-NR-2.0,resultsYAC_NR.mat,"With the aid of an aunt, the young Clampett designed the first Mickey Mouse dolls for Walt Disney.",14
111,YAC,120,task2-NR-2.0,resultsYAC_NR.mat,She was a researcher and reporter at Thames Television [1980 to 1983].,8
112,YAC,121,task2-NR-2.0,resultsYAC_NR.mat,"After two years of toiling in California he began passage home, by ship, to retrieve his family in New York.",13
113,YAC,122,task2-NR-2.0,resultsYAC_NR.mat,"He died, however, aboard ship and was given a sea burial.",7
114,YAC,123,task2-NR-2.0,resultsYAC_NR.mat,"He was an African-American jazz trumpeter, bandleader, singer, and composer.",8
115,YAC,124,task2-NR-2.0,resultsYAC_NR.mat,"In 1962, Clampett created an animated version of the show called Beany and Cecil, which ran on ABC for five years.",15
116,YAC,125,task2-NR-2.0,resultsYAC_NR.mat,The business was dissolved in 1834 due to the difficulties in placing Long's locomotive designs into production.,11
117,YAC,126,task2-NR-2.0,resultsYAC_NR.mat,"In 1814, he was commissioned a lieutenant of engineers in the United States Army.",9
118,YAC,127,task2-NR-2.0,resultsYAC_NR.mat,"In March 1819 he married Martha Hodgkins of Philadelphia, Pennsylvania.",8
119,YAC,128,task2-NR-2.0,resultsYAC_NR.mat,"The following month, as a brevet major in the U.S. Army, he was appointed to lead an expedition through the American West, in areas acquired in the Louisiana Purchase.",20
120,YAC,129,task2-NR-2.0,resultsYAC_NR.mat,"The specific purpose of the voyage was to the find the sources of the Platte, Arkansas, and Red rivers.",11
121,YAC,130,task2-NR-2.0,resultsYAC_NR.mat,"For a time in the summer of 1823, his expedition was joined by Italian explorer Giacomo Beltrami.",13
122,YAC,131,task2-NR-2.0,resultsYAC_NR.mat,She is the well-meaning and patient wife of Homer.,5
123,YAC,132,task2-NR-2.0,resultsYAC_NR.mat,"Her most notable physical feature is her blue hair, styled into an improbably high beehive.",12
124,YAC,133,task2-NR-2.0,resultsYAC_NR.mat,"It was once mentioned, by Homer, that she actually dyes her hair blue, as she's been gray as a mule since seventeen.",14
125,YAC,134,task2-NR-2.0,resultsYAC_NR.mat,"With a few exceptions, Marge spends most of her time tending to housework, minding Maggie, being supportive of Lisa, and either disciplining Bart or defending him from Homer's rage.",21
126,YAC,135,task2-NR-2.0,resultsYAC_NR.mat,"She was named after Margaret Marge Groening, mother of Matt Groening, creator of The Simpsons.",11
127,YAC,136,task2-NR-2.0,resultsYAC_NR.mat,"Her father, a former flight attendant (air steward), is deceased, although when or how this occurred has not been explained.",14
128,YAC,137,task2-NR-2.0,resultsYAC_NR.mat,"Her disapproving mother, Jacqueline, lives on but is rarely seen.",7
129,YAC,138,task2-NR-2.0,resultsYAC_NR.mat,"All members of the Bouvier family (except, of course, Marge) smoke heavily and have gruff voices and sarcastic, snarky demeanours.",14
130,YAC,139,task2-NR-2.0,resultsYAC_NR.mat,None of the other Bouvier family members approves of Marge's marriage to Homer.,10
131,YAC,140,task2-NR-2.0,resultsYAC_NR.mat,"His behaviour is often oafish, clumsy, and insensitive, but he still remains lovable.",9
132,YAC,141,task2-NR-2.0,resultsYAC_NR.mat,Over the years he has become one of the notable dads in television and the possible template for most bumbling albeit well-meaning fathers.,16
133,YAC,142,task2-NR-2.0,resultsYAC_NR.mat,"He spends a great deal of his time at Moe's Tavern with his lifelong friends Barney, Carl, Lenny, and bartender Moe.",15
134,YAC,143,task2-NR-2.0,resultsYAC_NR.mat,"He has rage issues and has been physically and violently abusive, often towards his son, whom he has strangled and even struck on numerous occasions.",16
135,YAC,144,task2-NR-2.0,resultsYAC_NR.mat,"Four months later, he was killed by a German sniper in World War II.",11
136,YAC,145,task2-NR-2.0,resultsYAC_NR.mat,"He was also the father of 3 children, including actress Drew Barrymore.",8
137,YAC,146,task2-NR-2.0,resultsYAC_NR.mat,"His parents divorced when John was around 6 years old in 1935, but he claimed (most likely fallaciously) to have met his father only once.",16
138,YAC,147,task2-NR-2.0,resultsYAC_NR.mat,"John ran away at age 17 and signed a film contract, but he repeatedly abandoned leading roles and had no major film career.",15
139,YAC,148,task2-NR-2.0,resultsYAC_NR.mat,"He was cremated, and the ashes were interred in the Eden Memorial Park Cemetery in Mission Hills, Los Angeles, California.",14
140,YAC,149,task2-NR-2.0,resultsYAC_NR.mat,"Aged 86 at death, Groucho was the longest-lived of all the Marx brothers, though younger brother Zeppo survived him by two years.",16
141,YAC,150,task2-NR-2.0,resultsYAC_NR.mat,Groucho did a German accent.,5
142,YAC,151,task2-NR-2.0,resultsYAC_NR.mat,"He was the best-known of modern Brazilian writers, with his work translated into some 30 languages and popularized in film, notably Dona Flor and her Two Husbands in 1978.",19
143,YAC,152,task2-NR-2.0,resultsYAC_NR.mat,"In this year, he released his first book, O País do Carnaval.",9
144,YAC,153,task2-NR-2.0,resultsYAC_NR.mat,"Marvin Pierce Bush (born October 22, 1956) is the youngest son of George H. W. Bush and Barbara Pierce, and brother of George W., John (Jeb), Neil and Dorothy.",24
145,YAC,154,task2-NR-2.0,resultsYAC_NR.mat,He is named for his maternal grandfather.,6
146,YAC,155,task2-NR-2.0,resultsYAC_NR.mat,He became a banker in Boston and was active in the local Democratic Party.,9
147,YAC,156,task2-NR-2.0,resultsYAC_NR.mat,HCC is a publicly traded insurance company on the New York Stock Exchange.,10
148,YAC,157,task2-NR-2.0,resultsYAC_NR.mat,"During his seventh-grade school year, Coltrane experienced three deaths in his close-knit family; he lost his aunt, his grandfather, and his father.",18
149,YAC,158,task2-NR-2.0,resultsYAC_NR.mat,Coltrane began playing music and practicing obsessively at about this time.,9
150,YAC,159,task2-NR-2.0,resultsYAC_NR.mat,"Though he was active before 1955, his prime years were between 1955 and 1967, during which time he reshaped modern jazz and influenced generations of other musicians.",22
151,YAC,160,task2-NR-2.0,resultsYAC_NR.mat,"He passed away from liver disease in his home in Dix Hills, New York.",10
152,YAC,161,task2-NR-2.0,resultsYAC_NR.mat,Jon is known in the NBA because of the courage and determination he shows on defense and in the clutch time.,15
153,YAC,162,task2-NR-2.0,resultsYAC_NR.mat,He is a sharp shooter from the three point range and also a very accurate free throw shooter.,12
154,YAC,163,task2-NR-2.0,resultsYAC_NR.mat,His nickname is Johnny B. Goode.,4
155,YAC,164,task2-NR-2.0,resultsYAC_NR.mat,Shortly afterwards he retired from the Army as a brevet major.,8
156,YAC,165,task2-NR-2.0,resultsYAC_NR.mat,"In 1874, at the age of 23, Gifford was a Lieutenant in the 2nd Battalion, 24th Foot (later the South Wales Borderers), British Army during the First Ashanti Expedition, when the following deed took place for which he was awarded the Victoria Cross:",27
157,YAC,167,task2-NR-2.0,resultsYAC_NR.mat,"He graduated and practiced law in a small firm which folded, then moved on to the firm of Rosenman, Colin, Kaye, Petschek and Freund, which had CBS Records as a client.",20
158,YAC,168,task2-NR-2.0,resultsYAC_NR.mat,"In the 1970s, Arista also had an extensive jazz line, most notably its Freedom imprint, concentrating on contemporary, sometimes avant-garde, musicians and widely praised reissues from the legendary Savoy label.",20
159,YAC,169,task2-NR-2.0,resultsYAC_NR.mat,"She was seen as a useful conduit for contracting an alliance between Portugal and England, after the treaty of the Pyrenees in 1659 where Portugal was arguably abandoned by France.",19
160,YAC,170,task2-NR-2.0,resultsYAC_NR.mat,"Following the restoration of Portuguese independence from Spain, and her father's accession to the throne on December 1, 1640, Catherine was engaged to Charles II.",17
161,YAC,171,task2-NR-2.0,resultsYAC_NR.mat,"Charles II married on May 3 or May 21, 1662, in Portsmouth, and her dowry brought Tangier and Bombay to British control.",14
162,YAC,172,task2-NR-2.0,resultsYAC_NR.mat,"She was not a particularly popular choice of queen, being a Roman Catholic, and her religion prevented her ever being crowned, since she could not take part in an Anglican service.",19
163,YAC,173,task2-NR-2.0,resultsYAC_NR.mat,"Despite Charles's reputation as a womaniser, Catherine never gave birth to a live heir, though she had several pregnancies, the last being in 1669.",15
164,YAC,174,task2-NR-2.0,resultsYAC_NR.mat,"Her position was a difficult one, as Charles continued to have children by his mistresses, but he insisted that she be treated with respect, and refused to divorce her.",15
165,YAC,175,task2-NR-2.0,resultsYAC_NR.mat,"Following his death, Catherine remained in England through the reign of James II of England and returned to Portugal during the joint reign of William III and Mary II.",17
166,YAC,176,task2-NR-2.0,resultsYAC_NR.mat,She died in Lisbon in 1705.,3
167,YAC,177,task2-NR-2.0,resultsYAC_NR.mat,Laurance married Mary French in 1934.,7
168,YAC,179,task2-NR-2.0,resultsYAC_NR.mat,"Catherine introduced, and made fashionable, the custom of drinking tea in England.",9
169,YAC,180,task2-NR-2.0,resultsYAC_NR.mat,"She was very popular and loved by the people, and the Queens borough of New York City was named after her.",14
170,YAC,181,task2-NR-2.0,resultsYAC_NR.mat,"They had four children: Frederick Dent Grant, Ulysses S. (Buck) Grant, Jr., Ellen (Nellie) Grant, and Jesse Root Grant.",15
171,YAC,182,task2-NR-2.0,resultsYAC_NR.mat,"Hamer erroneously nominated him as Ulysses Simpson Grant, and although Grant protested the change, it was difficult to resist the bureaucracy.",17
172,YAC,183,task2-NR-2.0,resultsYAC_NR.mat,"Upon graduation, Grant adopted the form of his new name with middle initial only, never acknowledging that the 'S' stood for Simpson.",13
173,YAC,184,task2-NR-2.0,resultsYAC_NR.mat,"He graduated from West Point in 1843, ranking 21st in a class of 39.",8
174,YAC,185,task2-NR-2.0,resultsYAC_NR.mat,"At the academy, he established a reputation as a fearless and expert horseman.",10
175,YAC,186,task2-NR-2.0,resultsYAC_NR.mat,"Grant drank distilled liquor and, during the American Civil War, began smoking huge numbers of cigars (one story had it that he smoked over 10,000 in five years) which may well have contributed to his throat cancer of later life.",26
176,YAC,187,task2-NR-2.0,resultsYAC_NR.mat,"His father, a tanner, and his mother were born in Pennsylvania.",7
177,YAC,188,task2-NR-2.0,resultsYAC_NR.mat,Kennedy was a member of the prominent Kennedy political family.,7
178,YAC,189,task2-NR-2.0,resultsYAC_NR.mat,"Considered the icon of American liberalism, Kennedy is the youngest person ever to be elected president of the country, at the age of 43.",15
179,YAC,190,task2-NR-2.0,resultsYAC_NR.mat,"During this period, he published Profiles in Courage, highlighting eight instances in which U.S. Senators risked their careers by standing by their personal beliefs.",15
180,YAC,191,task2-NR-2.0,resultsYAC_NR.mat,"He was honorably discharged in early 1945, just a few months before the Japanese surrendered.",11
181,YAC,192,task2-NR-2.0,resultsYAC_NR.mat,"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.",16
182,YAC,193,task2-NR-2.0,resultsYAC_NR.mat,"However, the U.S. Navy accepted him in September of that year.",7
183,YAC,194,task2-NR-2.0,resultsYAC_NR.mat,"By the 1964 election, Reagan was an outspoken supporter of conservative Republican Barry Goldwater.",10
