row_idx,subject,text,task_name,label
36,YAC,"He is assumed to be the son of Richard Bush and Mary Fairbanks both of Dedham, Massachusetts.",NR,0
37,YAC,By training he was a blacksmith but when the American Revolution broke out militia Captain Bush led a company of soldiers for the Continental Army.,NR,0
38,YAC,"The family moved around 1810 to Springport, in Cayuga County in the Rochester, New York area.",NR,0
39,YAC,"He died in Springport, New York in 1815.",NR,0
40,YAC,"Through his son Timothy Bush, Jr., who was also a blacksmith, descended two American Presidents -George H. W. Bush and George W. Bush.",NR,0
41,YAC,Bush was a soldier in the French and Indian Wars and a Captain in the American Revolution and is the great-great-great-great-great grandfather of president George W. Bush.,NR,0
42,YAC,"They had five children after which they relocated to Norwich, Vermont where Bush was a Captain of a militia company.",NR,0
43,YAC,"Eventually, John Winthrop decided to take Hutchinson out of power before her influence became too strong among the community's men.",NR,0
44,YAC,After a two-day trial she was banished as a heretic in 1638 and led 60 followers to settle Aquidneck Island in what later became Rhode Island.,NR,0
45,YAC,"After many football insiders criticized Manning for being 0-3 in the playoffs, he won his first NFL playoff game against the Denver Broncos on January 4, 2004.",NR,0
46,YAC,Manning's Passer Rating in the Colts' playoff games against the Broncos and Kansas City Chiefs was a perfect 158.3.,NR,0
47,YAC,"He coached at Winston-Salem State University from 1946 to 1993, compiling a 828-447 record.",NR,0
48,YAC,He shared the honor with Tennessee Titans quarterback Steve McNair.,NR,0
49,YAC,"He put up even more impressive numbers in his last season (3,819 yards, 36 touchdowns) and finished second in Heisman Trophy voting to The University of Michigan's Charles Woodson, although he was unable to beat arch rival University of Florida for the fourth consecutive time.",NR,0
50,YAC,"His mother Jacqueline Kennedy was married to Greek shipping tycoon Aristotle Onassis from 1968 until Onassis's death in 1975, when John was 14 years old.",NR,0
51,YAC,"By most accounts, Aristotle Onassis did not play a particularly significant role in young John's life.",NR,0
52,YAC,He graduated in 1983 with a bachelor's degree in history.,NR,0
53,YAC,Taylor was born with dual British and American citizenship.,NR,0
54,YAC,"Christian VII (January 29, 1749–March 13, 1808), King of Denmark and Norway, Duke of Schleswig and Holstein.",NR,0
55,YAC,"He was the son of Frederick V, King of Denmark, and his first consort Louisa, daughter of George II of Great Britain.",NR,0
56,YAC,He ultimately sank into a condition of mental stupor.,NR,0
57,YAC,"Patti was born Adela Juana Maria Patti to Italian parents in Madrid, Spain.",NR,0
58,YAC,"Symptoms during this time included paranoia, self-mutilation and hallucinations.",NR,0
59,YAC,"He became submissive to upstart Johann Friedrich Struensee, who rose steadily in power in the late 1760s.",NR,0
60,YAC,The neglected and lonely Caroline Mathilde drifted into an affair with Struensee.,NR,0
61,YAC,Struensee was arrested and executed in that same year.,NR,0
62,YAC,"Christian signed Struensee's arrest warrant with indifference, and under pressure from his paternal grandmother, Sophie Magdalene of Brandenburg-Kulmbach, who had led the movement to have the marriage dissolved.",NR,0
63,YAC,"Caroline Mathilde, retaining her title but not her children, eventually left Denmark in exile and passed her remaining days in neighbouring Celle.",NR,0
64,YAC,"She died of cancer there on May 11, 1775.",NR,0
65,YAC,"Talia Shire (born April 25, 1946) is an American actress of Italian descent.",NR,0
66,YAC,"He appeared in 1953's Miss Sadie Thompson opposite Rita Hayworth, in 1954's The Caine Mutiny and the MGM musical Deep in My Heart.",NR,0
67,YAC,In 1955 Ferrer directed himself in The Shrike.,NR,0
68,YAC,"The Cockleshell Heroes followed a year later, along with The Great Man.",NR,0
69,YAC,In 1958 Ferrer appeared in I Accuse!,NR,0
70,YAC,"Ferrer also directed, but did not appear in, Return to Peyton Place in 1961 and also the re-make of State Fair in 1962.",NR,0
71,YAC,Clooney was Ferrer's third wife.,NR,0
72,YAC,"The two were married in 1953, divorced in 1961, and remarried in 1964, only to be divorced again in 1967.",NR,0
73,YAC,In 1950 Ferrer won an Academy Award for his portrayal of Cyrano de Bergerac in the 1950 film of that name.,NR,0
74,YAC,"He played Cyrano yet again in the French movie, Cyrano et D'Artagnan.",NR,0
75,YAC,Ferrer also had a recurring role as Julia Duffy's insanely wealthy Waspy father on the popular Newhart television sitcom in the U.S. in the 1980s.,NR,0
76,YAC,He also had a memorable recurring role as elegant and flamboyant attorney Reuben Marino on the soap opera Another World in the early 1980s.,NR,0
77,YAC,His nephew is the actor Jack Davenport.,NR,0
78,YAC,He flew a P-38 Lightning in the North African campaign of November 1942.,NR,0
79,YAC,"In his later years he became known as the last Australian politician to advocate, and use, capital punishment.",NR,0
80,YAC,He was educated at Skipton primary school and Ballarat Grammar: he was the last Victorian Premier not to have a university education.,NR,0
81,YAC,"On 2005-04-12, Bob Dole released his biography One Soldier's Story: A Memoir (ISBN 0060763418), which talks of his World War II experiences and his battle to survive his war injuries.",NR,0
82,YAC,"Dole took many odd-jobs around Russell as a boy, and would later work as a soda jerk in the local drug store.",NR,0
83,YAC,"He also ran unsuccessfully for the Republican Presidential nomination in 1980 and made a more serious bid for the Republican presidential nomination in 1988, losing to then-Vice President George H.W. Bush.",NR,0
84,YAC,"The contest between the two was bitter, although they differed little on issues.",NR,0
85,YAC,At one point when a newscaster was conducting a conversation with both of them he asked Dole if he had anything to say to Bush.,NR,0
86,YAC,While in the Senate he also served as chairman of the Republican National Committee from 1971 until 1973.,NR,0
87,YAC,"Dole studied Law at KU, but his studies were interrupted by the start of World War II.",NR,0
88,YAC,He is of three quarters Irish and one quarter French descent.,NR,0
89,YAC,"He was, for a short time, a commentator opposite Bill Clinton on CBS's 60 Minutes.",NR,0
90,YAC,He guest-starred as himself on NBC's Brooke Shields sitcom Suddenly Susan in January 1997 (shortly after losing the presidential election).,NR,0
91,YAC,"As their desire for wealth grows, they discard spiritual and creative values.",NR,0
92,YAC,"Their greed leads to distrust and dishonesty, and eventually the society crumbles.",NR,0
93,YAC,"In The Law of Civilisation and Decay (1895), Adams noted that as new population centers emerged in the west, centers of world trade shifted from Constantinople to Venice to Amsterdam to London.",NR,0
94,YAC,He predicted in America's Economic Supremacy (1900) that New York would become the world trade center.,NR,0
95,YAC,"She died from multiple strokes and lung cancer on November 6, 2004 in Tarzana, California at the age of 70.",NR,0
96,YAC,"During the 1940s, Coppola worked under Arturo Toscanini with the NBC Symphony Orchestra.",NR,0
97,YAC,He was the younger brother of actors Lionel and Ethel Barrymore and the grandfather of Drew Barrymore.,NR,0
98,YAC,"They had two children, Dolores Ethel Mae Barrymore and John Drew Barrymore (father of Drew Barrymore).",NR,0
99,YAC,"When she became pregnant, Barrymore proposed marriage.",NR,0
100,YAC,"But White intervened, and arranged for the still-teenaged Evelyn to undergo an operation for appendicitis.",NR,0
101,YAC,"White was later murdered by Nesbit's vengeful husband, Pittsburgh millionaire Harry K. Thaw.",NR,0
102,YAC,"His dying words were 'Die? I should say not, dear fellow'.",NR,0
103,YAC,"In 1964 she went to Reprise again, shifting the next year to Dot Records.",NR,0
104,YAC,No Barrymore would allow such a conventional thing to happen to him.,NR,0
105,YAC,"According to Errol Flynn's memoirs, film director Raoul Walsh 'borrowed' Barrymore's body after the funeral, and left his corpse propped in a chair for a drunken Flynn to discover when he returned home from The Cock and Bull bar.",NR,0
106,YAC,Other accounts of this classic Hollywood tale substitute actor Peter Lorre in the place of Walsh.,NR,0
107,YAC,He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.,NR,0
108,YAC,"He left home during the War of 1812 amd married in Rochester on November 8, 1821, Harriet Smith the daughter of Dr. Sanford Smith and Priscilla Whipple Smith.",NR,0
109,YAC,He and his wife had seven children.,NR,0
110,YAC,"With the aid of an aunt, the young Clampett designed the first Mickey Mouse dolls for Walt Disney.",NR,0
111,YAC,She was a researcher and reporter at Thames Television [1980 to 1983].,NR,0
112,YAC,"After two years of toiling in California he began passage home, by ship, to retrieve his family in New York.",NR,0
113,YAC,"He died, however, aboard ship and was given a sea burial.",NR,0
114,YAC,"He was an African-American jazz trumpeter, bandleader, singer, and composer.",NR,0
115,YAC,"In 1962, Clampett created an animated version of the show called Beany and Cecil, which ran on ABC for five years.",NR,0
116,YAC,The business was dissolved in 1834 due to the difficulties in placing Long's locomotive designs into production.,NR,0
117,YAC,"In 1814, he was commissioned a lieutenant of engineers in the United States Army.",NR,0
118,YAC,"In March 1819 he married Martha Hodgkins of Philadelphia, Pennsylvania.",NR,0
119,YAC,"The following month, as a brevet major in the U.S. Army, he was appointed to lead an expedition through the American West, in areas acquired in the Louisiana Purchase.",NR,0
120,YAC,"The specific purpose of the voyage was to the find the sources of the Platte, Arkansas, and Red rivers.",NR,0
121,YAC,"For a time in the summer of 1823, his expedition was joined by Italian explorer Giacomo Beltrami.",NR,0
122,YAC,She is the well-meaning and patient wife of Homer.,NR,0
123,YAC,"Her most notable physical feature is her blue hair, styled into an improbably high beehive.",NR,0
124,YAC,"It was once mentioned, by Homer, that she actually dyes her hair blue, as she's been gray as a mule since seventeen.",NR,0
125,YAC,"With a few exceptions, Marge spends most of her time tending to housework, minding Maggie, being supportive of Lisa, and either disciplining Bart or defending him from Homer's rage.",NR,0
126,YAC,"She was named after Margaret Marge Groening, mother of Matt Groening, creator of The Simpsons.",NR,0
127,YAC,"Her father, a former flight attendant (air steward), is deceased, although when or how this occurred has not been explained.",NR,0
128,YAC,"Her disapproving mother, Jacqueline, lives on but is rarely seen.",NR,0
129,YAC,"All members of the Bouvier family (except, of course, Marge) smoke heavily and have gruff voices and sarcastic, snarky demeanours.",NR,0
130,YAC,None of the other Bouvier family members approves of Marge's marriage to Homer.,NR,0
131,YAC,"His behaviour is often oafish, clumsy, and insensitive, but he still remains lovable.",NR,0
132,YAC,Over the years he has become one of the notable dads in television and the possible template for most bumbling albeit well-meaning fathers.,NR,0
133,YAC,"He spends a great deal of his time at Moe's Tavern with his lifelong friends Barney, Carl, Lenny, and bartender Moe.",NR,0
134,YAC,"He has rage issues and has been physically and violently abusive, often towards his son, whom he has strangled and even struck on numerous occasions.",NR,0
135,YAC,"Four months later, he was killed by a German sniper in World War II.",NR,0
136,YAC,"He was also the father of 3 children, including actress Drew Barrymore.",NR,0
137,YAC,"His parents divorced when John was around 6 years old in 1935, but he claimed (most likely fallaciously) to have met his father only once.",NR,0
138,YAC,"John ran away at age 17 and signed a film contract, but he repeatedly abandoned leading roles and had no major film career.",NR,0
139,YAC,"He was cremated, and the ashes were interred in the Eden Memorial Park Cemetery in Mission Hills, Los Angeles, California.",NR,0
140,YAC,"Aged 86 at death, Groucho was the longest-lived of all the Marx brothers, though younger brother Zeppo survived him by two years.",NR,0
141,YAC,Groucho did a German accent.,NR,0
142,YAC,"He was the best-known of modern Brazilian writers, with his work translated into some 30 languages and popularized in film, notably Dona Flor and her Two Husbands in 1978.",NR,0
143,YAC,"In this year, he released his first book, O País do Carnaval.",NR,0
144,YAC,"Marvin Pierce Bush (born October 22, 1956) is the youngest son of George H. W. Bush and Barbara Pierce, and brother of George W., John (Jeb), Neil and Dorothy.",NR,0
145,YAC,He is named for his maternal grandfather.,NR,0
146,YAC,He became a banker in Boston and was active in the local Democratic Party.,NR,0
147,YAC,HCC is a publicly traded insurance company on the New York Stock Exchange.,NR,0
148,YAC,"During his seventh-grade school year, Coltrane experienced three deaths in his close-knit family; he lost his aunt, his grandfather, and his father.",NR,0
149,YAC,Coltrane began playing music and practicing obsessively at about this time.,NR,0
150,YAC,"Though he was active before 1955, his prime years were between 1955 and 1967, during which time he reshaped modern jazz and influenced generations of other musicians.",NR,0
151,YAC,"He passed away from liver disease in his home in Dix Hills, New York.",NR,0
152,YAC,Jon is known in the NBA because of the courage and determination he shows on defense and in the clutch time.,NR,0
153,YAC,He is a sharp shooter from the three point range and also a very accurate free throw shooter.,NR,0
154,YAC,His nickname is Johnny B. Goode.,NR,0
155,YAC,Shortly afterwards he retired from the Army as a brevet major.,NR,0
156,YAC,"In 1874, at the age of 23, Gifford was a Lieutenant in the 2nd Battalion, 24th Foot (later the South Wales Borderers), British Army during the First Ashanti Expedition, when the following deed took place for which he was awarded the Victoria Cross:",NR,0
157,YAC,"He graduated and practiced law in a small firm which folded, then moved on to the firm of Rosenman, Colin, Kaye, Petschek and Freund, which had CBS Records as a client.",NR,0
158,YAC,"In the 1970s, Arista also had an extensive jazz line, most notably its Freedom imprint, concentrating on contemporary, sometimes avant-garde, musicians and widely praised reissues from the legendary Savoy label.",NR,0
159,YAC,"She was seen as a useful conduit for contracting an alliance between Portugal and England, after the treaty of the Pyrenees in 1659 where Portugal was arguably abandoned by France.",NR,0
160,YAC,"Following the restoration of Portuguese independence from Spain, and her father's accession to the throne on December 1, 1640, Catherine was engaged to Charles II.",NR,0
161,YAC,"Charles II married on May 3 or May 21, 1662, in Portsmouth, and her dowry brought Tangier and Bombay to British control.",NR,0
162,YAC,"She was not a particularly popular choice of queen, being a Roman Catholic, and her religion prevented her ever being crowned, since she could not take part in an Anglican service.",NR,0
163,YAC,"Despite Charles's reputation as a womaniser, Catherine never gave birth to a live heir, though she had several pregnancies, the last being in 1669.",NR,0
164,YAC,"Her position was a difficult one, as Charles continued to have children by his mistresses, but he insisted that she be treated with respect, and refused to divorce her.",NR,0
165,YAC,"Following his death, Catherine remained in England through the reign of James II of England and returned to Portugal during the joint reign of William III and Mary II.",NR,0
166,YAC,She died in Lisbon in 1705.,NR,0
167,YAC,Laurance married Mary French in 1934.,NR,0
168,YAC,"Catherine introduced, and made fashionable, the custom of drinking tea in England.",NR,0
169,YAC,"She was very popular and loved by the people, and the Queens borough of New York City was named after her.",NR,0
170,YAC,"They had four children: Frederick Dent Grant, Ulysses S. (Buck) Grant, Jr., Ellen (Nellie) Grant, and Jesse Root Grant.",NR,0
171,YAC,"Hamer erroneously nominated him as Ulysses Simpson Grant, and although Grant protested the change, it was difficult to resist the bureaucracy.",NR,0
172,YAC,"Upon graduation, Grant adopted the form of his new name with middle initial only, never acknowledging that the 'S' stood for Simpson.",NR,0
173,YAC,"He graduated from West Point in 1843, ranking 21st in a class of 39.",NR,0
174,YAC,"At the academy, he established a reputation as a fearless and expert horseman.",NR,0
175,YAC,"Grant drank distilled liquor and, during the American Civil War, began smoking huge numbers of cigars (one story had it that he smoked over 10,000 in five years) which may well have contributed to his throat cancer of later life.",NR,0
176,YAC,"His father, a tanner, and his mother were born in Pennsylvania.",NR,0
177,YAC,Kennedy was a member of the prominent Kennedy political family.,NR,0
178,YAC,"Considered the icon of American liberalism, Kennedy is the youngest person ever to be elected president of the country, at the age of 43.",NR,0
179,YAC,"During this period, he published Profiles in Courage, highlighting eight instances in which U.S. Senators risked their careers by standing by their personal beliefs.",NR,0
180,YAC,"He was honorably discharged in early 1945, just a few months before the Japanese surrendered.",NR,0
181,YAC,"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.",NR,0
182,YAC,"However, the U.S. Navy accepted him in September of that year.",NR,0
183,YAC,"By the 1964 election, Reagan was an outspoken supporter of conservative Republican Barry Goldwater.",NR,0
184,YAC,"Though these requests were initially laughed off by Reagan, he says in his autobiography, he eventually gave in, after countless sleepless nights.""""",NR,0
185,YAC,"His paternal great-grandfather, Michael Reagan, immigrated to the United States from Ballyporeen, County Tipperary, Ireland in the 1860s.",NR,0
186,YAC,"Prior to his immigration, the family name was spelled Regan.",NR,0
187,YAC,"His maternal great-grandfather, John Wilson, immigrated to the United States from Paisley, Scotland in the early 1800s.",NR,0
188,YAC,"His presidency was marked by new economic policies, dubbed Reaganomics and a confrontational foreign policy towards the Soviet Union and Socialist movements around the world.",NR,0
189,YAC,"Reagan tried repeatedly to go overseas for combat duty, but was turned down because of his astigmatism.",NR,0
190,YAC,"Page recorded several live comedy albums for the Laff Records label in the late 1960's and early 1970's; One release, Watch It Sucker!, was titled after Aunt Esther's catchphrase to cash in on her newfound TV fame.",NR,0
191,YAC,He played college football for Alabama and was a teammate of legendary coach Bear Bryant.,NR,0
192,YAC,"After a career-ending injury, Howard joined the staff at Clemson College and became head coach in 1939.",NR,0
193,YAC,"He was inducted into the College Football Hall of Fame, the South Carolina Sports Hall of Fame, and the Clemson Ring of Honor.",NR,0
194,YAC,"Howard was born at Barlow Bend, Alabama (""three wagon greasin's from Mobile"").",NR,0
195,YAC,He was the youngest president ever elected and the only Roman Catholic president.,NR,0
196,YAC,"Kennedy is also the only Roman Catholic ever to become President, the first president to serve who was born in the 20th century, the last to die while still in office, the last Democrat from the North to be elected, and the last to be elected while serving in the U.S. Senate.",NR,0
197,YAC,"Another example of Kennedy's belief in the ability of nonmilitary power to improve the world was the creation of the Peace Corps, one of his first acts as president.",NR,0
198,YAC,"Kennedy married his second wife Jacqueline Bouvier on September 12, 1953.",NR,0
199,YAC,"During this period, he published Profiles in Courage, highlighting eight instances in which U.S. Senators risked their careers by standing by their personal beliefs.",NR,0
200,YAC,The book was awarded the 1957 Pulitzer Prize for Biography.,NR,0
201,YAC,"In 1958, Kennedy published the first edition of his book A Nation of Immigrants, closely following his involvement in the Displaced Persons Act and the 1957 bill to bring families together.",NR,0
202,YAC,"After World War II, Kennedy entered politics (partly to fill the void of his popular brother, Joseph P. Kennedy, Jr., on whom his family had pinned many of their hopes but who was killed in the war).",NR,0
203,YAC,"In 1946, Representative James Michael Curley vacated his seat in an overwhelmingly Democratic district to become mayor of Boston and Kennedy ran for that seat, beating his Republican opponent by a large margin.",NR,0
204,YAC,"He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.",NR,0
205,YAC,"In the spring of 1941, Kennedy volunteered for the U.S. Army, but was rejected, mainly because of his troublesome back.",NR,0
206,YAC,"However, the U.S. Navy accepted him in September of that year.",NR,0
207,YAC,"He participated in various commands in the Pacific Theater and earned the rank of lieutenant, commanding a patrol torpedo boat or PT boat.",NR,0
208,YAC,"He was born in Overisel, Michigan.",NR,0
209,YAC,In 1923 he was awarded the inaugural Bôcher Memorial Prize by the American Mathematical Society.,NR,0
210,YAC,The mathematician Garrett Birkhoff (1911-1996) was his son.,NR,0
211,YAC,"He later became an educator, teaching music theory at the University of the District of Columbia; he was also director of the District of Columbia Music Center jazz workshop band.",NR,0
212,YAC,"John Ellis ""Jeb"" Bush (born February 11, 1953), a Republican, is the forty-third and current Governor of Florida.",NR,0
213,YAC,"He is a prominent member of the Bush family, the younger brother of President George W. Bush and the second son of former President George H. W. Bush and Barbara Bush.",NR,0
214,YAC,"After earning his degree, Bush went to work in an entry level position in the international division of Texas Commerce Bank, which was run by Ben Love.",NR,0
215,YAC,"Following the 1980 presidential election, Bush and his family moved to Miami-Dade County, Florida.",NR,0
216,YAC,"He took a job in real estate with Armando Codina, a 32-year-old Cuban immigrant and self-made American millionaire.",NR,0
217,YAC,"Bush co-founded the first charter school in the State of Florida: Liberty City Charter School, a grades K-6 elementary school.",NR,0
218,YAC,"[4] Situated in Liberty City, Dade County, the school is located just outside of greater Miami, in an area plagued by poverty.",NR,0
219,YAC,"The co-founder, working alongside Bush as a partner, was T. Williard Fair, a well-known local black activist and head of the Greater Miami Urban League.",NR,0
220,YAC,"Governor Buddy MacKay (55% to 45%) to become governor, after courting moderate voters and Hispanics.",NR,0
221,YAC,"He then enrolled at Phillips Andover, a private boarding school in Massachusetts already attended by his brother George.",NR,0
222,YAC,"At the urging of his wife, Columba, a devout Mexican Catholic, the Protestant Bush became a Roman Catholic.",NR,0
223,YAC,"Bush attended the University of Texas at Austin, where he graduated Phi Beta Kappa with a Bachelor's degree in Latin American Studies in 1973, taking only two and a half years to complete his work, and obtaining generally excellent grades.",NR,0
224,YAC,He regularly delivers speeches in both English and Spanish due to the large number of Spanish speaking residents of Florida.,NR,0
225,YAC,"Their three children, now grown, are George P. (recently married), John E. ""Jeb"" Bush Jr. and Noelle.",NR,0
226,YAC,"In November 1977 he was sent to the Venezuelan capital of Caracas, in South America, to open a new operation for the bank.",NR,0
227,YAC,"When Bush was six years old, the family moved to Houston, Texas.",NR,0
228,YAC,"Bush stayed in Houston with another family to finish the school year, and spent most summers and holidays at the family estate, known as the Bush Compound.",NR,0
229,YAC,"When Bush was seventeen, he went to Leon, Mexico, as part of his school's student exchange program.",NR,0
230,YAC,"While attending a motorcycle race, he met a local girl named Columba Garnica Gallo, whom he eventually married.",NR,0
231,YAC,"Jeb Bush was born in Midland, Texas, where his father was running an oil drilling company.",NR,0
232,YAG,"Henry Ford, with his son Edsel, founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.",NR,0
233,YAG,"After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.",NR,0
234,YAG,"With his interest in race cars, he formed a second company, the Henry Ford Company.",NR,0
235,YAG,"During this period, he personally drove his Quadricycle to victory in a race against Alexander Winton, a well-known driver and the heavy favorite on October 10, 1901.",NR,0
236,YAG,"Ford was forced out of the company by the investors, including Henry M. Leland in 1902, and the company was reorganized as Cadillac.",NR,0
237,YAG,"In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",NR,0
238,YAG,"These experiments culminated in 1896 with the completion of his own self-propelled vehicle named the Quadricycle, which he test-drove on June 4 of that year.",NR,0
239,YAG,"Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",NR,0
240,YAG,"In the years between the wars, Henry Ford supported Adolf Hitler's Nazi regime.",NR,0
241,YAG,There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.,NR,0
242,YAG,"This can in part be traced to statements from Kurt Ludecke, Germany's representative to the U.S. in the 1920s, and Winifred Wagner, daughter-in-law of Richard Wagner, who said they requested funds from Ford to aid the National Socialist movement in Germany.",NR,0
243,YAG,"Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H. Wills.",NR,0
244,YAG,Henry Ford advocated long-time associate Harry Bennett to take the spot.,NR,0
245,YAG,"Edsel's widow Eleanor, who had inherited Edsel's voting stock, wanted her son Henry Ford II to take over the position.",NR,0
246,YAG,"Alexander Rae Baldwin III (born April 3, 1958, in Massapequa, Long Island, New York, USA) is an American actor who is the oldest and best known of the ""Baldwin brothers"", with brothers Daniel, Stephen and William.",NR,0
247,YAG,He is of three quarters Irish and one quarter French descent.,NR,0
248,YAG,"Baldwin has appeared in movies such as The Cooler, The Hunt for Red October, Beetlejuice, Ghosts of Mississippi, Talk Radio, Final Fantasy: The Spirits Within (voice), The Cat in the Hat, Pearl Harbor, Thomas and the Magic Railroad, Along Came Polly, The SpongeBob SquarePants Movie, and The Aviator.",NR,0
249,YAG,"When Baldwin was young, he had a job as a busboy at famous New York City disco Studio 54.",NR,0
250,YAG,He was married to actress Kim Basinger from 1993 to 2002.,NR,0
251,YAG,"Baldwin, a liberal Democrat, has always had an active interest in politics and is frequently rumored to be a candidate for public office.",NR,0
252,YAG,"In particular, Baldwin is one of the most frequent hosts of Saturday Night Live, leading the show eleven times and also making cameo appearances regularly.",NR,0
