row_idx,subject,text,task_name,label,split,fold,held_out_subject,true_label_id,pred_label_id,true_label_name,pred_label_name,prob_NR,prob_TSR,pca1,pca2
11,YAC,"Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H. Wills.",NR,0,test,1,YAC,0,1,NR,TSR,0.028591763,0.9714082,12.06621,7.569698
12,YAC,Henry Ford advocated long-time associate Harry Bennett to take the spot.,NR,0,test,1,YAC,0,1,NR,TSR,0.029955897,0.97004414,11.285726,8.520372
13,YAC,"Edsel's widow Eleanor, who had inherited Edsel's voting stock, wanted her son Henry Ford II to take over the position.",NR,0,test,1,YAC,0,1,NR,TSR,0.03562206,0.96437794,12.750111,8.080594
14,YAC,"Alexander Rae Baldwin III (born April 3, 1958, in Massapequa, Long Island, New York, USA) is an American actor who is the oldest and best known of the ""Baldwin brothers"", with brothers Daniel, Stephen and William.",NR,0,test,1,YAC,0,1,NR,TSR,0.041955203,0.9580448,12.242719,8.426135
15,YAC,He is of three quarters Irish and one quarter French descent.,NR,0,test,1,YAC,0,1,NR,TSR,0.038622595,0.9613774,13.286224,7.1556177
16,YAC,"Baldwin has appeared in movies such as The Cooler, The Hunt for Red October, Beetlejuice, Ghosts of Mississippi, Talk Radio, Final Fantasy: The Spirits Within (voice), The Cat in the Hat, Pearl Harbor, Thomas and the Magic Railroad, Along Came Polly, The SpongeBob SquarePants Movie, and The Aviator.",NR,0,test,1,YAC,0,1,NR,TSR,0.035104897,0.9648951,12.199182,7.8893332
17,YAC,"When Baldwin was young, he had a job as a busboy at famous New York City disco Studio 54.",NR,0,test,1,YAC,0,1,NR,TSR,0.033821028,0.96617895,12.838303,8.503573
18,YAC,He was married to actress Kim Basinger from 1993 to 2002.,NR,0,test,1,YAC,0,1,NR,TSR,0.030771043,0.969229,12.836369,7.264963
19,YAC,"Baldwin, a liberal Democrat, has always had an active interest in politics and is frequently rumored to be a candidate for public office.",NR,0,test,1,YAC,0,1,NR,TSR,0.027732562,0.97226745,12.732139,7.705312
20,YAC,"In particular, Baldwin is one of the most frequent hosts of Saturday Night Live, leading the show eleven times and also making cameo appearances regularly.",NR,0,test,1,YAC,0,1,NR,TSR,0.037971813,0.9620282,11.896919,8.021922
21,YAC,He played William Barrett Travis in a movie about the Alamo called Thirteen Days of Glory.,NR,0,test,1,YAC,0,1,NR,TSR,0.038259294,0.9617407,12.831394,7.599143
22,YAC,"In 1998, he began narrating the American version of the children's series Thomas the Tank Engine and Friends.",NR,0,test,1,YAC,0,1,NR,TSR,0.030924425,0.96907556,11.786213,7.4143825
23,YAC,"He is infamous for his 1994 appearance on Saturday Night Live as he potrays Mr. Armstrong, a scoutmaster who is a pedophile, he rips his shirt and puts his mouth around Adam Sandler's neck.",NR,0,test,1,YAC,0,1,NR,TSR,0.027607922,0.97239214,13.207219,7.023687
24,YAC,"In 1954 she, along with Bing Crosby, Danny Kaye, and Vera-Ellen, starred in the movie White Christmas.",NR,0,test,1,YAC,0,1,NR,TSR,0.02497297,0.975027,12.403563,6.876619
25,YAC,"Clooney's first recordings, in May of 1946 were for Columbia Records as a singer with the big band of Tony Pastor.",NR,0,test,1,YAC,0,1,NR,TSR,0.03317333,0.9668267,12.901688,6.7669463
26,YAC,"Rosemary Clooney was married three times, twice to Jose Ferrer (from 1953 until 1961 and then again from 1964 to 1967) by whom she had five children, including actor Miguel Ferrer, born in 1955, and Gabriel Ferrer, born 1956, who married Debby Boone, and once to Dante DePaolo (whom she married in 1997).",NR,0,test,1,YAC,0,1,NR,TSR,0.027835976,0.97216403,12.630256,6.8842072
27,YAC,"Rosemary, Betty, and brother, Nick, as well as her nephew, George Clooney (Nick's son), all became entertainers.",NR,0,test,1,YAC,0,1,NR,TSR,0.026956627,0.9730434,12.491626,7.077252
28,YAC,In 1945 the Clooney sisters won a spot on Cincinnati's radio station WLW as singers.,NR,0,test,1,YAC,0,1,NR,TSR,0.032138895,0.9678611,12.7825365,6.291231
29,YAC,"She was born in Maysville, Kentucky, about 60 miles up the Ohio River from Cincinnati, Ohio to Andrew Joseph Clooney and Frances Marie Guilfoyle, both of whom were of Irish descent (Rosemary's paternal great-grandparents, Nicholas Clooney and Bridget Byron, were born in Ireland), although Clooney's paternal grandmother, Crescentia Koch, was German.",NR,0,test,1,YAC,0,1,NR,TSR,0.0285835,0.97141653,12.764583,6.907651
30,YAC,"In 1958, Clooney left Columbia, doing a number of recordings for MGM Records and then some for Coral Records.",NR,0,test,1,YAC,0,1,NR,TSR,0.03034847,0.9696516,12.100765,6.523037
31,YAC,"Finally, toward the end of 1958, she signed with RCA Victor Records, where she stayed until 1963 except for doing some recordings in 1960 for Reprise Records.",NR,0,test,1,YAC,0,1,NR,TSR,0.03022789,0.9697721,12.834531,7.0967193
32,YAC,"In 1964 she went to Reprise again, shifting the next year to Dot Records.",NR,0,test,1,YAC,0,1,NR,TSR,0.027889203,0.97211075,13.231768,6.6236672
33,YAC,In 1966 she went to United Artists Records.,NR,0,test,1,YAC,0,1,NR,TSR,0.02565327,0.97434676,12.70678,6.4654384
34,YAC,"In 1986 she sang a duet with Wild Man Fischer on ""It's a Hard Business"".",NR,0,test,1,YAC,0,1,NR,TSR,0.023551535,0.9764484,12.73185,6.192392
35,YAC,"On January 28, 2005 it was revealed that he accepted money from the George W. Bush administration to promote their marriage initiative program, which he did not disclose to his readers.",NR,0,test,1,YAC,0,1,NR,TSR,0.028970521,0.97102946,12.508042,6.9591155
36,YAC,"He is assumed to be the son of Richard Bush and Mary Fairbanks both of Dedham, Massachusetts.",NR,0,test,1,YAC,0,1,NR,TSR,0.027314952,0.97268504,12.134679,6.6244736
37,YAC,By training he was a blacksmith but when the American Revolution broke out militia Captain Bush led a company of soldiers for the Continental Army.,NR,0,test,1,YAC,0,1,NR,TSR,0.030877843,0.9691222,12.749887,6.605455
38,YAC,"The family moved around 1810 to Springport, in Cayuga County in the Rochester, New York area.",NR,0,test,1,YAC,0,1,NR,TSR,0.027904404,0.97209567,12.541239,6.690887
39,YAC,"He died in Springport, New York in 1815.",NR,0,test,1,YAC,0,1,NR,TSR,0.02078736,0.97921264,12.009037,5.9576063
40,YAC,"Through his son Timothy Bush, Jr., who was also a blacksmith, descended two American Presidents -George H. W. Bush and George W. Bush.",NR,0,test,1,YAC,0,1,NR,TSR,0.025291199,0.9747088,13.093035,6.715134
41,YAC,Bush was a soldier in the French and Indian Wars and a Captain in the American Revolution and is the great-great-great-great-great grandfather of president George W. Bush.,NR,0,test,1,YAC,0,1,NR,TSR,0.028648596,0.9713514,12.51254,7.012712
42,YAC,"They had five children after which they relocated to Norwich, Vermont where Bush was a Captain of a militia company.",NR,0,test,1,YAC,0,1,NR,TSR,0.02983067,0.97016937,12.908399,6.498477
43,YAC,"Eventually, John Winthrop decided to take Hutchinson out of power before her influence became too strong among the community's men.",NR,0,test,1,YAC,0,1,NR,TSR,0.025130337,0.97486967,12.5701475,6.980223
44,YAC,After a two-day trial she was banished as a heretic in 1638 and led 60 followers to settle Aquidneck Island in what later became Rhode Island.,NR,0,test,1,YAC,0,1,NR,TSR,0.028027033,0.971973,13.0753765,6.758713
45,YAC,"After many football insiders criticized Manning for being 0-3 in the playoffs, he won his first NFL playoff game against the Denver Broncos on January 4, 2004.",NR,0,test,1,YAC,0,1,NR,TSR,0.05773406,0.9422659,9.298623,6.0229707
46,YAC,Manning's Passer Rating in the Colts' playoff games against the Broncos and Kansas City Chiefs was a perfect 158.3.,NR,0,test,1,YAC,0,1,NR,TSR,0.05456274,0.9454373,9.264681,6.0407324
47,YAC,"He coached at Winston-Salem State University from 1946 to 1993, compiling a 828-447 record.",NR,0,test,1,YAC,0,1,NR,TSR,0.05523518,0.9447648,9.076901,6.4929004
48,YAC,He shared the honor with Tennessee Titans quarterback Steve McNair.,NR,0,test,1,YAC,0,1,NR,TSR,0.0501125,0.9498876,9.126864,5.810986
49,YAC,"He put up even more impressive numbers in his last season (3,819 yards, 36 touchdowns) and finished second in Heisman Trophy voting to The University of Michigan's Charles Woodson, although he was unable to beat arch rival University of Florida for the fourth consecutive time.",NR,0,test,1,YAC,0,1,NR,TSR,0.050965227,0.9490348,9.966277,5.8284388
50,YAC,"His mother Jacqueline Kennedy was married to Greek shipping tycoon Aristotle Onassis from 1968 until Onassis's death in 1975, when John was 14 years old.",NR,0,test,1,YAC,0,1,NR,TSR,0.052716322,0.9472837,9.516834,5.9298553
51,YAC,"By most accounts, Aristotle Onassis did not play a particularly significant role in young John's life.",NR,0,test,1,YAC,0,1,NR,TSR,0.05337498,0.94662505,9.414854,5.585835
52,YAC,He graduated in 1983 with a bachelor's degree in history.,NR,0,test,1,YAC,0,1,NR,TSR,0.057010334,0.9429897,8.889964,6.538451
53,YAC,Taylor was born with dual British and American citizenship.,NR,0,test,1,YAC,0,1,NR,TSR,0.04582976,0.9541703,9.384207,5.409678
54,YAC,"Christian VII (January 29, 1749–March 13, 1808), King of Denmark and Norway, Duke of Schleswig and Holstein.",NR,0,test,1,YAC,0,1,NR,TSR,0.041190553,0.9588094,10.162548,5.9988065
55,YAC,"He was the son of Frederick V, King of Denmark, and his first consort Louisa, daughter of George II of Great Britain.",NR,0,test,1,YAC,0,1,NR,TSR,0.046795554,0.95320445,10.2423,6.451636
56,YAC,He ultimately sank into a condition of mental stupor.,NR,0,test,1,YAC,0,1,NR,TSR,0.043692086,0.95630795,8.857291,5.5703125
57,YAC,"Patti was born Adela Juana Maria Patti to Italian parents in Madrid, Spain.",NR,0,test,1,YAC,0,1,NR,TSR,0.047932632,0.9520673,9.451066,5.1688323
58,YAC,"Symptoms during this time included paranoia, self-mutilation and hallucinations.",NR,0,test,1,YAC,0,1,NR,TSR,0.037244223,0.9627558,9.5322895,5.3384285
59,YAC,"He became submissive to upstart Johann Friedrich Struensee, who rose steadily in power in the late 1760s.",NR,0,test,1,YAC,0,1,NR,TSR,0.052525543,0.9474744,9.144771,6.159989
60,YAC,The neglected and lonely Caroline Mathilde drifted into an affair with Struensee.,NR,0,test,1,YAC,0,1,NR,TSR,0.05534821,0.9446518,9.145116,5.5362988
61,YAC,Struensee was arrested and executed in that same year.,NR,0,test,1,YAC,0,1,NR,TSR,0.03816556,0.96183443,9.968417,5.913419
62,YAC,"Christian signed Struensee's arrest warrant with indifference, and under pressure from his paternal grandmother, Sophie Magdalene of Brandenburg-Kulmbach, who had led the movement to have the marriage dissolved.",NR,0,test,1,YAC,0,1,NR,TSR,0.045938205,0.95406175,9.606178,5.8858027
63,YAC,"Caroline Mathilde, retaining her title but not her children, eventually left Denmark in exile and passed her remaining days in neighbouring Celle.",NR,0,test,1,YAC,0,1,NR,TSR,0.047197215,0.9528028,9.991178,5.7728677
64,YAC,"She died of cancer there on May 11, 1775.",NR,0,test,1,YAC,0,1,NR,TSR,0.038068186,0.9619318,9.679687,5.8927517
65,YAC,"Talia Shire (born April 25, 1946) is an American actress of Italian descent.",NR,0,test,1,YAC,0,1,NR,TSR,0.045043264,0.9549567,9.939099,6.5526476
66,YAC,"He appeared in 1953's Miss Sadie Thompson opposite Rita Hayworth, in 1954's The Caine Mutiny and the MGM musical Deep in My Heart.",NR,0,test,1,YAC,0,1,NR,TSR,0.048450887,0.9515492,9.951913,6.4021215
67,YAC,In 1955 Ferrer directed himself in The Shrike.,NR,0,test,1,YAC,0,1,NR,TSR,0.03247149,0.9675286,9.908454,5.961303
68,YAC,"The Cockleshell Heroes followed a year later, along with The Great Man.",NR,0,test,1,YAC,0,1,NR,TSR,0.044008516,0.95599145,9.959679,6.214926
69,YAC,In 1958 Ferrer appeared in I Accuse!,NR,0,test,1,YAC,0,1,NR,TSR,0.045130998,0.954869,9.22381,6.335451
70,YAC,"Ferrer also directed, but did not appear in, Return to Peyton Place in 1961 and also the re-make of State Fair in 1962.",NR,0,test,1,YAC,0,1,NR,TSR,0.04285094,0.9571491,10.228716,6.323971
71,YAC,Clooney was Ferrer's third wife.,NR,0,test,1,YAC,0,1,NR,TSR,0.033836428,0.9661636,11.000764,6.440077
72,YAC,"The two were married in 1953, divorced in 1961, and remarried in 1964, only to be divorced again in 1967.",NR,0,test,1,YAC,0,1,NR,TSR,0.045310054,0.95469,9.839803,7.035335
73,YAC,In 1950 Ferrer won an Academy Award for his portrayal of Cyrano de Bergerac in the 1950 film of that name.,NR,0,test,1,YAC,0,1,NR,TSR,0.044990018,0.95501,9.693038,6.0867457
74,YAC,"He played Cyrano yet again in the French movie, Cyrano et D'Artagnan.",NR,0,test,1,YAC,0,1,NR,TSR,0.040916793,0.9590832,9.404844,5.506109
75,YAC,Ferrer also had a recurring role as Julia Duffy's insanely wealthy Waspy father on the popular Newhart television sitcom in the U.S. in the 1980s.,NR,0,test,1,YAC,0,1,NR,TSR,0.039004248,0.9609958,10.091872,6.154021
76,YAC,He also had a memorable recurring role as elegant and flamboyant attorney Reuben Marino on the soap opera Another World in the early 1980s.,NR,0,test,1,YAC,0,1,NR,TSR,0.04315396,0.95684606,10.192223,6.381559
77,YAC,His nephew is the actor Jack Davenport.,NR,0,test,1,YAC,0,1,NR,TSR,0.024337877,0.9756621,10.986118,6.757972
78,YAC,He flew a P-38 Lightning in the North African campaign of November 1942.,NR,0,test,1,YAC,0,1,NR,TSR,0.045458112,0.9545419,9.143436,6.5113835
79,YAC,"In his later years he became known as the last Australian politician to advocate, and use, capital punishment.",NR,0,test,1,YAC,0,1,NR,TSR,0.059026126,0.9409739,9.491515,5.810566
80,YAC,He was educated at Skipton primary school and Ballarat Grammar: he was the last Victorian Premier not to have a university education.,NR,0,test,1,YAC,0,1,NR,TSR,0.05113221,0.9488678,9.405025,6.5723205
81,YAC,"On 2005-04-12, Bob Dole released his biography One Soldier's Story: A Memoir (ISBN 0060763418), which talks of his World War II experiences and his battle to survive his war injuries.",NR,0,test,1,YAC,0,1,NR,TSR,0.051967114,0.94803286,9.617738,5.7679057
82,YAC,"Dole took many odd-jobs around Russell as a boy, and would later work as a soda jerk in the local drug store.",NR,0,test,1,YAC,0,1,NR,TSR,0.04582198,0.954178,10.175948,6.123903
83,YAC,"He also ran unsuccessfully for the Republican Presidential nomination in 1980 and made a more serious bid for the Republican presidential nomination in 1988, losing to then-Vice President George H.W. Bush.",NR,0,test,1,YAC,0,1,NR,TSR,0.055843677,0.94415635,9.768344,6.126248
84,YAC,"The contest between the two was bitter, although they differed little on issues.",NR,0,test,1,YAC,0,1,NR,TSR,0.045629364,0.9543707,10.244845,5.9413095
85,YAC,At one point when a newscaster was conducting a conversation with both of them he asked Dole if he had anything to say to Bush.,NR,0,test,1,YAC,0,1,NR,TSR,0.06090777,0.9390923,9.4618025,6.473368
86,YAC,While in the Senate he also served as chairman of the Republican National Committee from 1971 until 1973.,NR,0,test,1,YAC,0,1,NR,TSR,0.052610006,0.94739,9.990056,5.8050814
87,YAC,"Dole studied Law at KU, but his studies were interrupted by the start of World War II.",NR,0,test,1,YAC,0,1,NR,TSR,0.050495625,0.9495044,9.251623,5.77468
88,YAC,He is of three quarters Irish and one quarter French descent.,NR,0,test,1,YAC,0,1,NR,TSR,0.049597282,0.95040274,9.605538,6.9661274
89,YAC,"He was, for a short time, a commentator opposite Bill Clinton on CBS's 60 Minutes.",NR,0,test,1,YAC,0,1,NR,TSR,0.05674919,0.94325083,9.281113,6.3021913
90,YAC,He guest-starred as himself on NBC's Brooke Shields sitcom Suddenly Susan in January 1997 (shortly after losing the presidential election).,NR,0,test,1,YAC,0,1,NR,TSR,0.037939064,0.962061,10.684437,6.4403768
91,YAC,"As their desire for wealth grows, they discard spiritual and creative values.",NR,0,test,1,YAC,0,1,NR,TSR,0.029576918,0.9704231,10.071554,1.7871189
92,YAC,"Their greed leads to distrust and dishonesty, and eventually the society crumbles.",NR,0,test,1,YAC,0,1,NR,TSR,0.037716486,0.9622835,9.8705015,3.6763473
93,YAC,"In The Law of Civilisation and Decay (1895), Adams noted that as new population centers emerged in the west, centers of world trade shifted from Constantinople to Venice to Amsterdam to London.",NR,0,test,1,YAC,0,1,NR,TSR,0.03076804,0.969232,10.755858,3.9541235
94,YAC,He predicted in America's Economic Supremacy (1900) that New York would become the world trade center.,NR,0,test,1,YAC,0,1,NR,TSR,0.026922897,0.9730771,9.641892,2.0877848
95,YAC,"She died from multiple strokes and lung cancer on November 6, 2004 in Tarzana, California at the age of 70.",NR,0,test,1,YAC,0,1,NR,TSR,0.028441563,0.9715585,9.839008,3.9795308
96,YAC,"During the 1940s, Coppola worked under Arturo Toscanini with the NBC Symphony Orchestra.",NR,0,test,1,YAC,0,1,NR,TSR,0.050795596,0.9492044,9.840102,3.85227
97,YAC,He was the younger brother of actors Lionel and Ethel Barrymore and the grandfather of Drew Barrymore.,NR,0,test,1,YAC,0,1,NR,TSR,0.040810853,0.9591892,9.180678,2.5925272
98,YAC,"They had two children, Dolores Ethel Mae Barrymore and John Drew Barrymore (father of Drew Barrymore).",NR,0,test,1,YAC,0,1,NR,TSR,0.031789497,0.9682105,9.426107,3.4518914
99,YAC,"When she became pregnant, Barrymore proposed marriage.",NR,0,test,1,YAC,0,1,NR,TSR,0.031882573,0.9681175,8.917412,4.5072246
100,YAC,"But White intervened, and arranged for the still-teenaged Evelyn to undergo an operation for appendicitis.",NR,0,test,1,YAC,0,1,NR,TSR,0.028676076,0.9713239,9.92311,3.5002325
101,YAC,"White was later murdered by Nesbit's vengeful husband, Pittsburgh millionaire Harry K. Thaw.",NR,0,test,1,YAC,0,1,NR,TSR,0.026179504,0.97382057,9.464602,4.395213
102,YAC,"His dying words were 'Die? I should say not, dear fellow'.",NR,0,test,1,YAC,0,1,NR,TSR,0.02076899,0.979231,9.968981,4.6586366
103,YAC,"In 1964 she went to Reprise again, shifting the next year to Dot Records.",NR,0,test,1,YAC,0,1,NR,TSR,0.023057967,0.976942,10.3872795,3.884611
104,YAC,No Barrymore would allow such a conventional thing to happen to him.,NR,0,test,1,YAC,0,1,NR,TSR,0.021686835,0.9783132,11.296011,2.2711475
105,YAC,"According to Errol Flynn's memoirs, film director Raoul Walsh 'borrowed' Barrymore's body after the funeral, and left his corpse propped in a chair for a drunken Flynn to discover when he returned home from The Cock and Bull bar.",NR,0,test,1,YAC,0,1,NR,TSR,0.023380367,0.97661966,9.279952,2.946713
106,YAC,Other accounts of this classic Hollywood tale substitute actor Peter Lorre in the place of Walsh.,NR,0,test,1,YAC,0,1,NR,TSR,0.024607247,0.97539276,9.45977,2.6826594
107,YAC,He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.,NR,0,test,1,YAC,0,1,NR,TSR,0.024118697,0.9758813,9.988246,2.3115566
108,YAC,"He left home during the War of 1812 amd married in Rochester on November 8, 1821, Harriet Smith the daughter of Dr. Sanford Smith and Priscilla Whipple Smith.",NR,0,test,1,YAC,0,1,NR,TSR,0.02074607,0.9792539,9.20681,2.4997776
109,YAC,He and his wife had seven children.,NR,0,test,1,YAC,0,1,NR,TSR,0.035764456,0.96423554,9.706664,2.7697523
110,YAC,"With the aid of an aunt, the young Clampett designed the first Mickey Mouse dolls for Walt Disney.",NR,0,test,1,YAC,0,1,NR,TSR,0.020619404,0.97938055,10.210895,2.0093598
111,YAC,She was a researcher and reporter at Thames Television [1980 to 1983].,NR,0,test,1,YAC,0,1,NR,TSR,0.025706874,0.9742931,8.983787,1.6126294
112,YAC,"After two years of toiling in California he began passage home, by ship, to retrieve his family in New York.",NR,0,test,1,YAC,0,1,NR,TSR,0.011654362,0.9883456,8.827605,1.4743756
113,YAC,"He died, however, aboard ship and was given a sea burial.",NR,0,test,1,YAC,0,1,NR,TSR,0.015988031,0.984012,9.710203,2.4637337
114,YAC,"He was an African-American jazz trumpeter, bandleader, singer, and composer.",NR,0,test,1,YAC,0,1,NR,TSR,0.0183361,0.98166394,9.7108755,3.094023
115,YAC,"In 1962, Clampett created an animated version of the show called Beany and Cecil, which ran on ABC for five years.",NR,0,test,1,YAC,0,1,NR,TSR,0.02649141,0.97350866,10.300287,2.217941
116,YAC,The business was dissolved in 1834 due to the difficulties in placing Long's locomotive designs into production.,NR,0,test,1,YAC,0,1,NR,TSR,0.021729968,0.97827005,8.479639,1.8279797
117,YAC,"In 1814, he was commissioned a lieutenant of engineers in the United States Army.",NR,0,test,1,YAC,0,1,NR,TSR,0.019107379,0.9808926,9.994551,2.6443176
118,YAC,"In March 1819 he married Martha Hodgkins of Philadelphia, Pennsylvania.",NR,0,test,1,YAC,0,1,NR,TSR,0.0163355,0.98366445,10.144718,2.051494
119,YAC,"The following month, as a brevet major in the U.S. Army, he was appointed to lead an expedition through the American West, in areas acquired in the Louisiana Purchase.",NR,0,test,1,YAC,0,1,NR,TSR,0.024600081,0.9753999,9.806897,2.5652719
120,YAC,"The specific purpose of the voyage was to the find the sources of the Platte, Arkansas, and Red rivers.",NR,0,test,1,YAC,0,1,NR,TSR,0.021092717,0.9789073,11.16125,4.900716
121,YAC,"For a time in the summer of 1823, his expedition was joined by Italian explorer Giacomo Beltrami.",NR,0,test,1,YAC,0,1,NR,TSR,0.021978501,0.9780215,9.765737,2.007196
122,YAC,She is the well-meaning and patient wife of Homer.,NR,0,test,1,YAC,0,1,NR,TSR,0.025637465,0.97436255,9.970834,1.9786488
123,YAC,"Her most notable physical feature is her blue hair, styled into an improbably high beehive.",NR,0,test,1,YAC,0,1,NR,TSR,0.031906445,0.9680935,10.680011,0.2996762
124,YAC,"It was once mentioned, by Homer, that she actually dyes her hair blue, as she's been gray as a mule since seventeen.",NR,0,test,1,YAC,0,1,NR,TSR,0.031434573,0.96856546,9.506239,2.7975626
125,YAC,"With a few exceptions, Marge spends most of her time tending to housework, minding Maggie, being supportive of Lisa, and either disciplining Bart or defending him from Homer's rage.",NR,0,test,1,YAC,0,1,NR,TSR,0.02556532,0.9744347,9.876025,1.6858675
126,YAC,"She was named after Margaret Marge Groening, mother of Matt Groening, creator of The Simpsons.",NR,0,test,1,YAC,0,1,NR,TSR,0.023080563,0.9769195,10.17964,2.6178997
127,YAC,"Her father, a former flight attendant (air steward), is deceased, although when or how this occurred has not been explained.",NR,0,test,1,YAC,0,1,NR,TSR,0.024846904,0.9751531,10.259105,3.3146095
128,YAC,"Her disapproving mother, Jacqueline, lives on but is rarely seen.",NR,0,test,1,YAC,0,1,NR,TSR,0.018141488,0.9818585,10.102926,3.6492815
129,YAC,"All members of the Bouvier family (except, of course, Marge) smoke heavily and have gruff voices and sarcastic, snarky demeanours.",NR,0,test,1,YAC,0,1,NR,TSR,0.02670293,0.97329706,11.746607,4.3793445
130,YAC,None of the other Bouvier family members approves of Marge's marriage to Homer.,NR,0,test,1,YAC,0,1,NR,TSR,0.021680776,0.9783192,10.515936,0.9827971
131,YAC,"His behaviour is often oafish, clumsy, and insensitive, but he still remains lovable.",NR,0,test,1,YAC,0,1,NR,TSR,0.023999324,0.9760007,11.013494,3.9495077
132,YAC,Over the years he has become one of the notable dads in television and the possible template for most bumbling albeit well-meaning fathers.,NR,0,test,1,YAC,0,1,NR,TSR,0.025634155,0.97436583,8.949703,1.9858062
133,YAC,"He spends a great deal of his time at Moe's Tavern with his lifelong friends Barney, Carl, Lenny, and bartender Moe.",NR,0,test,1,YAC,0,1,NR,TSR,0.02658224,0.9734178,11.853849,2.879422
134,YAC,"He has rage issues and has been physically and violently abusive, often towards his son, whom he has strangled and even struck on numerous occasions.",NR,0,test,1,YAC,0,1,NR,TSR,0.029478794,0.9705212,9.366345,1.6081007
135,YAC,"Four months later, he was killed by a German sniper in World War II.",NR,0,test,1,YAC,0,1,NR,TSR,0.018195722,0.98180425,9.473079,2.8512487
136,YAC,"He was also the father of 3 children, including actress Drew Barrymore.",NR,0,test,1,YAC,0,1,NR,TSR,0.017100362,0.9828996,9.764107,1.4466565
137,YAC,"His parents divorced when John was around 6 years old in 1935, but he claimed (most likely fallaciously) to have met his father only once.",NR,0,test,1,YAC,0,1,NR,TSR,0.021159854,0.9788401,10.640635,2.9703884
138,YAC,"John ran away at age 17 and signed a film contract, but he repeatedly abandoned leading roles and had no major film career.",NR,0,test,1,YAC,0,1,NR,TSR,0.013848597,0.9861514,9.655244,0.6675061
139,YAC,"He was cremated, and the ashes were interred in the Eden Memorial Park Cemetery in Mission Hills, Los Angeles, California.",NR,0,test,1,YAC,0,1,NR,TSR,0.017387725,0.98261225,9.659479,1.5424918
140,YAC,"Aged 86 at death, Groucho was the longest-lived of all the Marx brothers, though younger brother Zeppo survived him by two years.",NR,0,test,1,YAC,0,1,NR,TSR,0.023436202,0.9765638,10.535049,2.4287658
141,YAC,Groucho did a German accent.,NR,0,test,1,YAC,0,1,NR,TSR,0.009364097,0.99063593,9.048959,0.1107168
142,YAC,"He was the best-known of modern Brazilian writers, with his work translated into some 30 languages and popularized in film, notably Dona Flor and her Two Husbands in 1978.",NR,0,test,1,YAC,0,1,NR,TSR,0.012884995,0.987115,12.166684,3.6569364
143,YAC,"In this year, he released his first book, O País do Carnaval.",NR,0,test,1,YAC,0,1,NR,TSR,0.010566629,0.98943335,12.14874,4.584844
